Season,Player,Team,Apps,Mins,Goals,Assists,Yel,Red,Shots per Game,Pass Success%,Aerials Won,MotM,Avg. Rating
2013/2014,Edin Dzeko,Manchester City,31,2009,16,1,4,0,3.3,73.5,2.8,2,7.15
2012/2013,Edin Dzeko,Manchester City,32,1823,14,3,4,0,2.9,69.2,2.7,2,6.96
2011/2012,Edin Dzeko,Manchester City,30,1504,14,3,1,0,3.1,68.8,1.2,3,7.02
2010/2011,Edin Dzeko,Wolfsburg/Manchester City,32,2367,12,3,4,0,5.7,132.8,2.9,1,6.87
,,,,,,,,,,,,,
2014/2015,Cesc Fabregas,Chelsea,13,1161,1,10,4,0,1.2,89.4,0.6,1,7.86
2013/2014,Cesc Fabregas,Barcelona,36,2488,8,13,4,0,1.4,87,0.5,1,7.31
2012/2013,Cesc Fabregas,Barcelona,32,2339,11,11,7,0,1.6,88.6,0.5,2,7.45
2011/2012,Cesc Fabregas,Barcelona,28,1960,9,8,6,0,1.6,86.9,0.1,2,7.44
2010/2011,Cesc Fabregas,Arsenal,25,1895,3,11,5,0,2.8,80.5,0.2,2,7.55
